"energy","danceability","tempo","valence","views","likes","stream"
"0.821","0.878","118.881","0.947","349102050","2254295","389644450"
"0.905","0.859","89.946","0.731","978680025","8312571","256361972"
"0.921","0.831","108.002","0.795","504057332","3085718","224254298"
"0.854","0.877","114.472","0.54","436325398","2515830","349629692"
"0.719","0.775","117.513","0.712","343328494","2121502","280500270"
"0.547","0.778","95.002","0.441","1518313784","6420621","995490565"
"0.802","0.668","113.796","0.769","10941241","216805","34361626"
"0.709","0.7","122.019","0.624","237232986","1026177","502735560"
"0.628","0.674","103.998","0.552","534286492","2554163","476783121"
"0.87","0.534","126.019","0.462","432775314","2187945","471672024"
"0.588","0.491","113.608","0.193","339837769","1819636","662431775"
"0.592","0.473","159.7","0.292","80575503","948515","346097538"
"0.888","0.636","122.032","0.25","3309247","146755","2790105"
"0.734","0.688","140.004","0.46","168736063","611231","219363750"
"0.823","0.457","192.205","0.578","149977268","938718","170002964"
"0.678","0.637","84.039","0.254","719661717","5550929","908006704"
"0.669","0.908","112.238","0.662","1590485349","11469490","1457351902"
"0.661","0.949","104.504","0.76","777507160","6489755","1232567233"
"0.755","0.802","130.027","0.58","139257221","950561","466021760"
"0.847","0.548","171.447","0.1","1931315","18992","1548871694"
"0.768","0.78","80.063","0.507","623027280","5152714","799979337"
"0.925","0.749","86.989","0.641","2539156924","12696568","1115478746"
"0.745","0.808","165.995","0.829","547039623","9287567","1072650382"
"0.824","0.668","163.961","0.185","454015875","2471743","357737050"
"0.954","0.855","114.635","0.668","1727241246","11425215","789922926"
"0.822","0.647","160.019","0.962","128396799","718507","1143833476"
"0.819","0.851","83.154","0.903","3658044","88925","42006396"
"0.745","0.893","101.018","0.872","673495248","4097957","981287133"
"0.56","0.877","119.971","0.154","20392451","560857","104603335"
"0.733","0.81","125.975","0.9","26641550","315368","99934776"
"0.516","0.679","120.074","0.716","121559320","1081676","198332490"
"0.563","0.859","119.934","0.412","35793144","431472","219355874"
"0.54","0.622","130.879","0.847","81512369","436530","213673856"
"0.571","0.827","142.034","0.62","11408003","477302","99577335"
"0.46","0.89","112.555","0.677","2672481","63065","105629259"
"0.404","0.894","102.009","0.759","59095041","433116","114177468"
"0.296","0.351","115.284","0.12","1721382178","24425840","2110573779"
"0.774","0.912","119.966","0.632","25212794","418647","203066841"
"0.761","0.52","141.971","0.286","129183587","1480652","1322057199"
"0.539","0.799","136.948","0.394","886349984","5968729","1290687019"
"0.686","0.632","89.949","0.329","632400004","2781127","1424962511"
"0.552","0.596","97.949","0.112","860718114","4030063","1143264716"
"0.449","0.736","80.126","0.326","544666810","3251468","1221083395"
"0.585","0.83","105.03","0.642","1381628","12115","586480399"
"0.647","0.64","92.979","0.546","353454004","2754251","1241240312"
"0.648","0.708","143.955","0.338","243497172","1758555","843423744"
"0.632","0.778","122.104","0.498","252068988","9415668","196761853"
"0.695","0.873","131.963","0.823","189132077","3670104","220692224"
"0.636","0.695","174.14","0.575","460717876","3361051","473003231"
"0.824","0.778","100.024","0.758","1214508056","6540184","1164605089"
"0.871","0.758","126.994","0.753","3463816330","20327883","629918488"
"0.868","0.831","131.971","0.483","144690551","1327396","162685755"
"0.361","0.687","165.747","0.526","151765834","507258","138360843"
"0.773","0.852","102.034","0.907","2805793003","10370533","859799057"
"0.461","0.595","91.976","0.338","135287306","437988","220084336"
"0.403","0.839","97.967","0.575","359765","4970","229134152"
"0.675","0.731","124.939","0.298","102439463","1072165","574531280"
"0.744","0.628","119.921","0.277","111974897","1198821","426759364"
"0.92","0.601","88.014","0.537","20170299","294321","90825980"
"0.336","0.654","176.083","0.947","2246595","23628","189357854"
"0.718","0.653","82.034","0.216","206242355","1923118","382579404"
"0.875","0.654","99.975","0.522","68116200","854345","254290993"
"0.858","0.533","160.057","0.506","117833946","1278216","280845476"
