"artist","youtube_streams","spotify_streams","youtube_likes","spotify_likes","youtube_comments","spotify_comments","youtube_avg_views_per_track","spotify_avg_views_per_track","youtube_engagement_rate","spotify_engagement_rate","best_platform"
"Meghan Trainor","2667254658","1351025748","27539311","7024835","1310418","129624","444542443.00000000","337756437.00000000","0.01032496500377280436","0.00519963073272234927","YouTube"
"Shakira","2989445330","1305599698","47161526","8801509","2457420","399696","597889066.00000000","261119939.60000000","0.01577601220089882025","0.00674135342822360242","YouTube"
"Earth, Wind & Fire","1209002193","1197921844","43243848","4804872","2746008","305112","134333577.00000000","1197921844.00000000","0.03576821303582201195","0.00401100624724896493","YouTube"
"Ozuna","3732768488","1133561791","35146666","6285146","959666","205245","746553697.60000000","226712358.20000000","0.00941571011247778193","0.00554459937685037939","YouTube"
"Nicki Minaj","5325534902","1131394701","45220010","3937349","2024194","299472","665691862.75000000","565697350.50000000","0.00849116771031162796","0.00348008435652024501","YouTube"
"Enrique Iglesias","2825957846","906904338","30372317","683160","877429","20489","403708263.71428571","302301446.00000000","0.01074761856161105667","0.00075328782912933867","YouTube"
"Nicky Jam","2566674227","888333678","21774870","3126176","589970","63019","513334845.40000000","177666735.60000000","0.00848369059498878118","0.00351914610176470198","YouTube"
"Jennifer Lopez","1743925182","718632049","26741706","466525","1226493","13804","249132168.85714286","239544016.33333333","0.01533420485925410532","0.00064918479582031555","YouTube"
"Fifth Harmony","2920211091","508913372","43754537","3690085","1592254","186419","365026386.37500000","254456686.00000000","0.01498334731172350033","0.00725090988570054709","YouTube"
"Passenger","1938418829","286914040","31067985","348109","910566","9981","484604707.25000000","47819006.666666666667","0.01602748824722647182","0.00121328673912228206","YouTube"
"BLACKPINK","3813130066","202842434","131856733","445772","19599405","5622","476641258.25000000","101421217.000000000000","0.03457965784480009395","0.00219762695215932974","YouTube"
"Natti Natasha","2814622028","93287623","32022003","137145","1207267","15817","351827753.50000000","46643811.500000000000","0.01137701712039610315","0.00147013071605436876","YouTube"
