"track","artist","album","energy","danceability","views","likes","comments","stream","engagement_rate"
"Cracker Island (feat. Thundercat)","Thundercat","Cracker Island (feat. Thundercat)","0.913","0.741","24460373","739543","20295","42671901","0.030234330441322378"
"Cracker Island (feat. Thundercat)","Thundercat","Cracker Island (feat. Thundercat)","0.913","0.741","24460373","739543","20295","42671901","0.030234330441322378"
"Cracker Island (feat. Thundercat)","Gorillaz","Cracker Island (feat. Thundercat)","0.913","0.741","24459820","739527","20296","42671901","0.030234359860375096"
"De Vez En Cuando (feat. De La Ghetto)","Maldy","De Vez En Cuando (feat. De La Ghetto)","0.913","0.738","11851313","83589","2125","3675235","0.0070531425505342745"
"Vete","Rafaga","Una Cerveza","0.913","0.699","78798230","152510","3698","14107534","0.0019354495653011495"
"Vete","Rafaga","Una Cerveza","0.913","0.699","78798230","152510","3698","14107534","0.0019354495653011495"
"Vete","Rafaga","Una Cerveza","0.913","0.699","78798230","152510","3698","14107534","0.0019354495653011495"
"Vete","Rafaga","Una Cerveza","0.913","0.699","78798230","152510","3698","14107534","0.0019354495653011495"
"Always Have, Always Will","Ace of Base","Flowers","0.913","0.679","3150991","7619","359","5113180","0.002417969457862622"
"Social Cues","Cage The Elephant","Social Cues","0.913","0.668","5499484","75368","2032","89944856","0.013704558464030443"
"Drink In My Hand","Eric Church","Chief","0.913","0.626","2525387","9573","227","221239786","0.0037907061373167756"
"It's On","Eazy-E","It's On (Dr. Dre) 187um Killa","0.912","0.771","1503301","15771","1136","22146586","0.010490912997463582"
"Delirious (Boneless) (feat. Kid Ink)","Chris Lake","Neon Future I","0.912","0.706","20461076","240222","4556","124264403","0.011740438283890837"
"Ausländer","Rammstein","Rammstein","0.912","0.681","65241757","1027446","0","150724437","0.01574828832399471"
"I Want Your Soul - Radio Edit","Armand Van Helden","I Want Your Soul","0.912","0.668","4039442","25412","735","6665185","0.006290967910914429"
"Unity","Hardwell","Unity","0.912","0.65","24206306","223912","2034","62706095","0.009250151592729596"
"Bad Girls","M.I.A.","Matangi","0.912","0.639","142190760","1098712","77499","282120411","0.007727028113500484"
"Here We Kum","Molotov","Dance And Dense Denso","0.911","0.804","17366276","63707","2029","33121754","0.0036684318503287638"
"Siragugal","Javed Ali","Sarvam","0.911","0.642","35896634","214310","6031","15165022","0.005970197651400964"
"Depende","Wesley Safadão","Depende","0.91","0.887","136778478","809470","5784","86932118","0.005918109426542968"
"Depende","Zé Felipe","Depende","0.91","0.887","136778623","809473","5784","86932118","0.00591812508596464"
"Love Again - Imanbek Remix","Imanbek","Love Again (Imanbek Remix)","0.91","0.717","9679066","134578","3687","39317484","0.013904027516704607"
"Breathe","Fabolous","Real Talk (123)","0.91","0.713","5626184","58405","2528","44076614","0.010380926041522994"
"Breathe","Fabolous","Real Talk (123)","0.91","0.713","5626184","58405","2528","44076614","0.010380926041522994"
"Something Got Me Started - 2008 Remaster","Simply Red","Stars (Expanded Version)","0.91","0.698","27841752","113088","1456","67373078","0.004061813351401162"
"Simples Corazones (feat. Melendi)","Fonseca","Agustín","0.91","0.652","13753311","53692","1198","68498875","0.00390393266028813"
"Melody","Sigala","Melody","0.91","0.63","8047105","65052","871","87938900","0.008083900980538964"
"China Grove","The Doobie Brothers","The Captain and Me","0.91","0.623","3491799","18602","704","121668779","0.005327339861200487"
