"track","artist","album","energy","danceability","views","likes","comments","stream","engagement_rate"
"GIVE HEAVEN SOME HELL","HARDY","A ROCK","0.843","0.639","34365250","169923","4993","96936262","0.0049446170186452885"
"Happiness","The Pointer Sisters","Energy (Expanded Edition)","0.843","0.627","289122","3046","195","6628197","0.010535344940890005"
"Happiness","The Pointer Sisters","Energy (Expanded Edition)","0.843","0.627","289122","3046","195","6628197","0.010535344940890005"
"Quiero Bailar","Ivy Queen","DIVA- Platinum Edition","0.842","0.836","1563369","42658","524","180454362","0.027285944649023997"
"You Can Win If You Want","Modern Talking","The First & Second Album (30th Anniversary Edition)","0.842","0.792","10249840","60843","2115","23784530","0.005935995098460074"
"UN PASO","Trueno","UN PASO","0.842","0.778","19659399","368848","10887","27511243","0.018761916373944088"
"Break My Heart Myself (feat. YEJI & RYUJIN of ITZY)","ITZY","Break My Heart Myself (feat. YEJI & RYUJIN of ITZY)","0.842","0.771","43745290","1691149","44495","15994928","0.0386589962027912"
"Magenta (prod. Auer)","Pezet","Muzyka wspó?czesna","0.842","0.742","4523617","45280","785","32843658","0.010009689149191897"
"Olvídate (Remix)","La K'onga","Olvídate (Remix)","0.842","0.712","26000918","81414","1309","6204702","0.0031311971369626258"
"I Knew You Were Waiting (For Me)","George Michael","ARETHA","0.842","0.705","46592859","245937","15650","98857291","0.005278426893700599"
"I Knew You Were Waiting (For Me)","Aretha Franklin","ARETHA","0.842","0.705","46592929","245937","15650","98857291","0.005278418963529852"
"I Knew You Were Waiting (For Me)","Aretha Franklin","ARETHA","0.842","0.705","46592929","245937","15650","98857291","0.005278418963529852"
"I Knew You Were Waiting (For Me)","George Michael","ARETHA","0.842","0.705","46592859","245937","15650","98857291","0.005278426893700599"
"Rumors (feat. Lil Durk)","Gucci Mane","So Icy Gang: The ReUp","0.842","0.688","48629450","527721","23938","72016908","0.010851880907557046"
"La Plata","Diomedes Diaz","26 De Mayo","0.842","0.671","10028740","29660","859","10362313","0.0029575001445844643"
"My Head & My Heart - Claptone Remix","Claptone","My Head & My Heart (Claptone Remix)","0.842","0.667","2916751","55508","1350","19339970","0.019030764024765914"
"Lane Switcha (feat. A$AP Rocky, Juicy J & Project Pat)","Project Pat","Lane Switcha (feat. A$AP Rocky, Juicy J & Project Pat) [From F9 The Fast Saga Original Motion Picture Soundtrack]","0.842","0.652","3936830","72770","1523","19710513","0.018484415125875387"
"Minutos","Ricardo Arjona","Santo Pecado","0.842","0.634","5993047","34145","849","79062712","0.005697435711750634"
"Hokus Pokus","Insane Clown Posse","The Great Milenko","0.841","0.87","20131537","257744","12645","44687586","0.012802996611734117"
"How High - Remix","Redman","How High","0.841","0.816","25081830","191630","2717","20117129","0.00764019212314253"
"How High - Remix","Method Man","How High","0.841","0.816","25081589","191630","2717","20117129","0.007640265535010561"
"How High - Remix","Redman","How High","0.841","0.816","25081830","191630","2717","20117129","0.00764019212314253"
"How High - Remix","Method Man","How High","0.841","0.816","25081589","191630","2717","20117129","0.007640265535010561"
"Ropa Interior","Kendo Kaponi","Timelezz","0.841","0.808","4769201","94856","2963","10348683","0.019889285437959106"
"Hot In It","Charli XCX","Hot In It","0.841","0.748","5891649","96139","2236","117679131","0.01631784242408195"
"Hot In It","Charli XCX","Hot In It","0.841","0.748","5891649","96139","2236","117679131","0.01631784242408195"
"Hot In It","Tiësto","Hot In It","0.841","0.748","5891427","96134","2236","117679131","0.01631760862011869"
"Hot In It","Tiësto","Hot In It","0.841","0.748","5891427","96134","2236","117679131","0.01631760862011869"
"Ando buscando (feat. Piso 21)","Carlos Baute","De amor y dolor","0.841","0.712","59173674","376392","5452","132784156","0.006360801595655528"
"Mala Conducta (feat. Franco El Gorila)","Alexis y Fido","Perreología","0.841","0.711","10760331","82014","1318","74860357","0.007621884494073649"
"Jingle Bell Rock - Daryl's Version","Daryl Hall & John Oates","Jingle Bell Rock","0.841","0.666","3482498","29059","1550","239049937","0.008344297685167371"
"Just the Way You Are","Bruno Mars","Doo-Wops & Hooligans","0.841","0.635","1792439997","7658128","242767","1464356586","0.0042724598942320965"
"Me and Michael","MGMT","Little Dark Age","0.841","0.628","4937616","92413","5753","51859353","0.01871611725172634"
"Sippin On Some Syrup (feat. UGK (Underground Kingz) & Project Pat)","Three 6 Mafia","When the Smoke Clears: Sixty 6, Sixty 1","0.84","0.944","20686352","191456","5765","43461569","0.00925518428768881"
"Doomsday","MF DOOM","Operation: Doomsday (Complete)","0.84","0.856","14749326","215093","16473","129176400","0.014583242651223521"
"Bang It To The Curb","Far East Movement","Bang It To The Curb","0.84","0.811","4710299","55882","3158","21000657","0.011863790387828883"
"Stand Up","Ludacris","Chicken - N - Beer","0.84","0.751","28872809","168436","6036","47315546","0.0058337240411904506"
"Gangsta Lovin'","Eve","Eve-Olution","0.84","0.723","65482742","427951","9232","42786642","0.006535324986849207"
"Poolane Kunukeyamantaa","Haricharan","I - Manoharudu (Original Motion Picture Soundtrack)","0.84","0.72","37047104","152353","5304","7735495","0.0041124132131893495"
"3 A.M.","Jesse & Joy","3 A.M.","0.84","0.702","0","0","0","303936352","0"
"3 A.M.","Gente De Zona","3 A.M.","0.84","0.702","280115938","1195615","20086","303936352","0.004268286226540955"
"Good Goodbye (feat. Pusha T and Stormzy)","Pusha T","One More Light","0.84","0.697","62079727","623486","27194","114890540","0.01004331091855478"
"Little Things","Good Charlotte","Good Charlotte","0.84","0.686","13425876","69199","4043","62308884","0.005154151580127807"
"Baile De Los Pobres","Calle 13","Entren Los Que Quieran","0.84","0.686","55090905","192270","5767","48999944","0.0034900497641126064"
"Voy a pasármelo bien","Hombres G","Voy A Pasarmelo Bien","0.84","0.663","4271710","36679","667","49106055","0.008586491124163391"
"Bye Bye","Vilma Palma e Vampiros","La Pachanga","0.84","0.634","156372409","542641","15895","117446286","0.0034701837969382436"
"Bye Bye","Vilma Palma e Vampiros","La Pachanga","0.84","0.634","156372409","542641","15895","117446286","0.0034701837969382436"
"Somebody Like You","Keith Urban","Golden Road","0.84","0.624","32310912","184911","6144","181326414","0.005722865389872003"
"Dard - E - Disco","Caralisa Monteiro","Om Shanti Om","0.839","0.837","62924456","437624","11401","9996825","0.006954752219073614"
"Dard - E - Disco","Sukhwinder Singh","Om Shanti Om","0.839","0.837","62923765","437617","11400","9996825","0.006954717347253459"
"Dard - E - Disco","Caralisa Monteiro","Om Shanti Om","0.839","0.837","62924456","437624","11401","9996825","0.006954752219073614"
"Dard - E - Disco","Sukhwinder Singh","Om Shanti Om","0.839","0.837","62923765","437617","11400","9996825","0.006954717347253459"
"Trap (feat. Lil Baby)","SAINt JHN","Ghetto Lenny's Love Songs","0.839","0.791","33527856","450616","8914","122919127","0.013440048179639045"
"Jigsaw","Key Glock","Jigsaw","0.839","0.755","3773174","79755","3257","9949014","0.021137376648943305"
"Neutron Dance","The Pointer Sisters","Break Out (1983 Version - Expanded Edition)","0.839","0.752","7911414","57959","3184","20071459","0.007325997602956943"
"Cooped Up / Return Of The Mack","Mark Morrison","Cooped Up / Return Of The Mack","0.839","0.727","1669595","44156","1440","26687627","0.026447132388393593"
"Se Menea","Nio Garcia","Se Menea","0.839","0.711","62232887","731342","33119","82318778","0.011751696494491731"
"Era Um Garoto Que Como Eu Amava Os Beatles E Os Rollings Stones (C'Era Un Ragazzo Che Come Me Amava I Beatles E I Rolling Stones) - Ao Vivo","Engenheiros Do Hawaii","Acústico (Ao Vivo / Deluxe)","0.839","0.674","2984207","40653","1121","13149876","0.01362271451008593"
"Es Mejor Así (feat. Reik) - Primera Fila - Live Version","Cristian Castro","Cristian Castro En Primera Fila - Día 1","0.839","0.663","39043619","132539","2913","65610239","0.0033946392110833783"
"Sin Ti","Alex Zurdo","¿Quién Contra Nosotros?","0.839","0.663","89140856","473899","21316","26412168","0.005316294023472245"
"Sin Ti","Alex Zurdo","¿Quién Contra Nosotros?","0.839","0.663","89140856","473899","21316","26412168","0.005316294023472245"
"Mayor Que Usted","Wisin & Yandel","Mayor Que Usted","0.839","0.625","0","0","0","87208105","0"
"Mayor Que Usted","Natti Natasha","Mayor Que Usted","0.839","0.625","4085961","60010","4062","87208105","0.01468687537644143"
"Toxic","Britney Spears","In The Zone","0.838","0.774","593978662","3931975","155815","893129259","0.006619724329423806"
"Toxic","Britney Spears","In The Zone","0.838","0.774","593978662","3931975","155815","893129259","0.006619724329423806"
"Toxic","Britney Spears","In The Zone","0.838","0.774","593978662","3931975","155815","893129259","0.006619724329423806"
"Boy's a liar","PinkPantheress","Boy's a liar","0.838","0.656","2518090","68524","1066","62129501","0.02721268898252247"
"The Look","Roxette","Look Sharp!","0.838","0.634","66513931","360061","10539","228336704","0.0054133170989397695"
"Part II","Method Man","How High","0.837","0.775","25081589","191630","2717","45426822","0.007640265535010561"
"Part II","Redman","How High","0.837","0.775","25081830","191630","2717","45426822","0.00764019212314253"
"Part II","Redman","How High","0.837","0.775","25081830","191630","2717","45426822","0.00764019212314253"
"Part II","Method Man","How High","0.837","0.775","25081589","191630","2717","45426822","0.007640265535010561"
"I'm Your Man","Wham!","The Final","0.837","0.756","16778936","81404","5522","55345793","0.004851559121508062"
"I'm Your Man","Wham!","The Final","0.837","0.756","16778936","81404","5522","55345793","0.004851559121508062"
"OK Not To Be OK","Demi Lovato","OK Not To Be OK","0.837","0.743","20683542","610812","20519","237809079","0.029531305614870027"
"DON QUIXOTE","SEVENTEEN","SEVENTEEN 4th Album 'Face the Sun'","0.837","0.733","1541521","22485","535","23201624","0.014586243067723373"
"Amores Lejanos","Los Enanitos Verdes","Amores Lejanos","0.837","0.726","11323375","58787","1864","42896611","0.0051916500160067115"
"Quiúboles Que","C-Kan","Quiúboles Que!","0.837","0.723","26843367","351619","18627","25006764","0.013098915646461191"
"La Muralla Verde","Los Enanitos Verdes","Contrareloj","0.837","0.717","2909425","17713","698","247489800","0.0060881445646476535"
"A rodar mi vida","Fito Paez","El Amor Después del Amor","0.837","0.672","7124665","34110","1983","29605780","0.004787593521941032"
"Labon Ko","KK","Bhool Bhulaiyaa","0.837","0.63","37198461","376799","9794","24415132","0.010129424440435856"
"Candy","Mandy Moore","So Real","0.836","0.813","17874669","105424","10930","25343174","0.005897955369131591"
"Candy","Mandy Moore","So Real","0.836","0.813","17874669","105424","10930","25343174","0.005897955369131591"
"Candy","Mandy Moore","So Real","0.836","0.813","17874669","105424","10930","25343174","0.005897955369131591"
"Candy","Mandy Moore","So Real","0.836","0.813","17874669","105424","10930","25343174","0.005897955369131591"
"Rumble","Fred again..","Rumble","0.836","0.81","0","0","0","24727616","0"
"Rumble","Flowdan","Rumble","0.836","0.81","2055815","93186","5212","24196937","0.045328008599995626"
"Rumble","Skrillex","Rumble","0.836","0.81","2055815","93186","5212","24196937","0.045328008599995626"
"Rumble","Flowdan","Rumble","0.836","0.81","2055815","93186","5212","24196937","0.045328008599995626"
"Rumble","Fred again..","Rumble","0.836","0.81","0","0","0","24727616","0"
"Rumble","Skrillex","Rumble","0.836","0.81","2055815","93186","5212","24196937","0.045328008599995626"
"Should I Stay or Should I Go - Remastered","The Clash","Combat Rock (Remastered)","0.836","0.743","6928008","104150","4425","812402699","0.015033181254987003"
"CINDY","UZI","CINDY","0.836","0.718","22109121","187098","6498","88677647","0.008462480258713134"
"Hear Me Say","Jonas Blue","Hear Me Say","0.836","0.697","1828979","36863","578","77010581","0.020154960773196413"
"ANDRÓMEDA","WOS","ANDRÓMEDA","0.836","0.666","60505306","972033","30247","81806561","0.016065252194576125"
"Deine Mutter","Kool Savas","KKS","0.836","0.654","16588989","213512","7530","64433682","0.012870705984553971"
"Lights - Sped Up Version","Ellie Goulding","Lights (Sped Up Version)","0.836","0.653","2735468","42343","182","49749616","0.015479252544719952"
"Think","Aretha Franklin","The Blues Brothers Original Motion Picture Soundtrack","0.836","0.653","22556812","144558","4336","21118796","0.006408618381001712"
"Think","Aretha Franklin","The Blues Brothers Original Motion Picture Soundtrack","0.836","0.653","22556812","144558","4336","21118796","0.006408618381001712"
"Fly Like an Eagle","Seal","Best 1991 - 2004","0.836","0.623","1478482","17122","842","26079279","0.011580797060769086"
"Fly Like an Eagle","Seal","Best 1991 - 2004","0.836","0.623","1478482","17122","842","26079279","0.011580797060769086"
"Que Me Maten","La Factoria","Dj Pablito Presenta- La Factoría","0.835","0.835","4819256","23636","2177","2795939","0.00490449148167269"
"Karabiberim","Serdar Ortaç","A?k ?çin","0.835","0.783","20408472","90043","4406","32333757","0.004412040254655028"
"Nataaoki","Steve Aoki","NataKong","0.835","0.768","28064639","389108","6533","66285945","0.013864707114173105"
"Back In Time","Huey Lewis & The News","Greatest Hits: Huey Lewis And The News","0.835","0.758","13099675","100171","4357","34045730","0.007646830932828487"
"Take Me To Your Heart","Rick Astley","Hold Me in Your Arms","0.835","0.749","32511821","156096","5521","10338733","0.004801207536175842"
"Soy una Gargola","Randy","Gargolas 5: The Next Generation","0.835","0.741","2618719","26429","588","51303798","0.01009233904057671"
"Wherever You Go","INNA","Wherever You Go","0.835","0.709","4254389","54847","2713","4911768","0.01289186296786683"
"Deja Vu","ATEEZ","ZERO : FEVER Part.3","0.835","0.692","64775847","1639198","237396","62447261","0.02530569766227835"
"Deja Vu","ATEEZ","ZERO : FEVER Part.3","0.835","0.692","64775847","1639198","237396","62447261","0.02530569766227835"
"Cartagena","Silvestre Dangond","VIAJANTE","0.834","0.801","17966843","80758","1356","39369834","0.004494835291876264"
"El Último Ska","Panteon Rococo","Infiernos","0.834","0.8","40182312","197067","3819","43213582","0.004904322080820038"
"TRAFICANTE","Alonzo","QUARTIERS NORD","0.834","0.785","34181967","135991","2412","32160721","0.003978442785343512"
"Party On My Own (feat. FAULHABER)","Vintage Culture","Party On My Own (feat. FAULHABER)","0.834","0.757","13523525","182787","4192","85597159","0.013516224505075414"
"Dynasties & Dystopia (from the series Arcane League of Legends)","Denzel Curry","Dynasties & Dystopia (from the series Arcane League of Legends)","0.834","0.703","12997404","202111","2787","66398374","0.015550105236399514"
"Fuck You","CeeLo Green","The Lady Killer","0.834","0.69","8246850","133688","3828","318903968","0.016210795637122053"
"Fuck You","CeeLo Green","The Lady Killer","0.834","0.69","8246850","133688","3828","318903968","0.016210795637122053"
"La Boca Junta","Mau y Ricky","Likes y Cicatrices","0.834","0.662","12275706","93840","3333","37962335","0.0076443668494504515"
"La Boca Junta","Mau y Ricky","Likes y Cicatrices","0.834","0.662","12275706","93840","3333","37962335","0.0076443668494504515"
"La Boca Junta","Melendi","Likes y Cicatrices","0.834","0.662","12275651","93840","3333","37911948","0.007644401099379577"
"La Boca Junta","Melendi","Likes y Cicatrices","0.834","0.662","12275651","93840","3333","37911948","0.007644401099379577"
"Something Good Can Work","Two Door Cinema Club","Tourist History","0.834","0.647","21416271","153410","5629","227807392","0.007163245179331173"
"Fallin' For You","Colbie Caillat","Breakthrough (Deluxe Edition)","0.834","0.644","25146751","203639","6799","98247616","0.008098024273593038"
"Morena","NATTAN","Com Você ou Sem","0.834","0.625","56756761","499490","7086","62180956","0.008800537437293154"
"Bla Bla Bla","Gigi D'Agostino","L'Amour Toujours","0.833","0.821","65355381","402362","10316","101924802","0.006156524433695827"
"OUT OUT (feat. Charli XCX & Saweetie)","Jax Jones","OUT OUT (feat. Charli XCX & Saweetie)","0.833","0.787","26491511","177989","2306","370232540","0.006718718309423725"
"OUT OUT (feat. Charli XCX & Saweetie)","Jax Jones","OUT OUT (feat. Charli XCX & Saweetie)","0.833","0.787","26491511","177989","2306","370232540","0.006718718309423725"
"OUT OUT (feat. Charli XCX & Saweetie)","Joel Corry","OUT OUT (feat. Charli XCX & Saweetie)","0.833","0.787","26491511","177989","2306","370232540","0.006718718309423725"
"OUT OUT (feat. Charli XCX & Saweetie)","Charli XCX","OUT OUT (feat. Charli XCX & Saweetie)","0.833","0.787","26491419","177990","2306","370232540","0.006718779390413175"
"OUT OUT (feat. Charli XCX & Saweetie)","Jax Jones","OUT OUT (feat. Charli XCX & Saweetie)","0.833","0.787","26491511","177989","2306","370232540","0.006718718309423725"
"OUT OUT (feat. Charli XCX & Saweetie)","Joel Corry","OUT OUT (feat. Charli XCX & Saweetie)","0.833","0.787","26491511","177989","2306","370232540","0.006718718309423725"
"OUT OUT (feat. Charli XCX & Saweetie)","Charli XCX","OUT OUT (feat. Charli XCX & Saweetie)","0.833","0.787","26491419","177990","2306","370232540","0.006718779390413175"
"OUT OUT (feat. Charli XCX & Saweetie)","Charli XCX","OUT OUT (feat. Charli XCX & Saweetie)","0.833","0.787","26491419","177990","2306","370232540","0.006718779390413175"
"OUT OUT (feat. Charli XCX & Saweetie)","Joel Corry","OUT OUT (feat. Charli XCX & Saweetie)","0.833","0.787","26491511","177989","2306","370232540","0.006718718309423725"
"Der letzte Tag","Peter Fox","Stadtaffe","0.833","0.763","1764715","9206","43","19189823","0.005216706380350368"
"El Próximo Viernes - Live Version","Thalia","Thalia En Primera Fila","0.833","0.755","63532619","154353","6575","46336408","0.0024295079036486754"
"Jackie Chan","Tiësto","The London Sessions","0.833","0.747","52275235","520812","11774","782756255","0.009962882041563276"
"Usted","Juan Magán","4","0.833","0.712","120323464","354048","4411","137916795","0.0029424684781349047"
"Seen It All","Jeezy","Seen It All: The Autobiography","0.833","0.711","14099245","94540","2381","66952597","0.006705323582929441"
"Toda Forma de Amor","Lulu Santos","Toda Forma De Amor","0.833","0.674","1348458","4277","242","46621918","0.0031717710154858365"
"Dewi","Dewa 19","The 2000's Greatest","0.833","0.624","24737399","52531","4861","17583499","0.0021235458101314534"
"Shivers - Ofenbach Remix","Ofenbach","Shivers (Ofenbach Remix)","0.832","0.861","2331631","14327","166","48597705","0.006144625800566213"
"Sunshine (The Light)","Fat Joe","Sunshine (The Light)","0.832","0.8","36495530","261530","11115","73221296","0.007166083079215455"
"LA Leakers Freestyle","Central Cee","LA Leakers Freestyle","0.832","0.797","4973150","153973","5064","27406417","0.030960859817218463"
"Shakira!","1nonly","Shakira!","0.832","0.79","6599775","168143","1702","97904074","0.025477080658052736"
"Yo Te Quiero Dar","La Mosca Tse-Tse","Visperas De Carnaval","0.832","0.783","8506528","26717","927","8879427","0.0031407643635570233"
"Hosselen","Boef","Gewoon BOEF","0.832","0.77","25447670","167459","14234","16338337","0.006580523875073828"
"Rapp Snitch Knishes feat. Mr. Fantastik","MF DOOM","MM...FOOD","0.832","0.728","17441901","282222","631","144822002","0.01618069039607552"
"Represent","Nas","Illmatic","0.832","0.708","2021189","28457","1129","60483297","0.014079336469771012"
"17","MK","17","0.832","0.703","4105713","33390","1025","198276742","0.008132570396420792"
"17","MK","17","0.832","0.703","4105713","33390","1025","198276742","0.008132570396420792"
"Body Back (feat. Maia Wright)","Gryffin","Gravity","0.832","0.687","40344672","418537","3309","165112042","0.010374034023625226"
"Baila","Soolking","Sans visa","0.832","0.678","16126292","203784","5112","10755005","0.012636754934116286"
"Pasa","Matisse","VIAJANTE","0.832","0.652","3556190","33417","473","6991101","0.009396854498775375"
"Pasa","Fonseca","VIAJANTE","0.832","0.652","3556182","33417","473","6991101","0.009396875637973534"
"Pasa","Matisse","VIAJANTE","0.832","0.652","3556190","33417","473","6991101","0.009396854498775375"
"Pasa","Fonseca","VIAJANTE","0.832","0.652","3556182","33417","473","6991101","0.009396875637973534"
"Love Me Now (feat. FAST BOY)","Ofenbach","I","0.832","0.651","2993393","17260","172","14417954","0.005766032057935594"
"Don't You (Forget About Me) - 12"" Version","Simple Minds","Once Upon A Time (Super Deluxe)","0.832","0.65","13658038","54725","2738","29521321","0.004006798048153036"
"Lights Out","Estelle","Lovers Rock","0.832","0.629","178562","5197","282","3833512","0.029104736730099348"
"Donne-moi l’accord","Dadju","Poison Ou Antidote","0.831","0.843","28125925","225418","4334","30256360","0.00801459863097836"
"Pretty Girls","Iggy Azalea","Pretty Girls","0.831","0.834","189467385","1263952","99293","79511653","0.006671079563377095"
"Everywhere I Go","Hollywood Undead","Swan Songs","0.831","0.82","48596749","351963","23633","177128965","0.007242521511058281"
"Los Mitotes","Grupo Arriesgado","El Mes de las Madres","0.831","0.793","7059980","71552","418","23065416","0.010134872903322672"
"CHORRITO PA LAS ANIMAS","Feid","SIXDO","0.831","0.743","39667822","345580","4265","71448886","0.008711847098638287"
"Wonderful Night - Radio Edit;; Explicit","Fatboy Slim","Wonderful Night","0.831","0.727","2719746","16662","478","0","0.006126307383115924"
"Me Like Yuh","Jay Park","EVERYTHING YOU WANTED","0.831","0.715","51489467","890955","22203","39061366","0.017303636100952452"
"La nena","Banda Pequeños Musical","25 Bandazos de Pequeños Musical (Vol. 1) [USA]","0.831","0.71","13214943","56498","763","23516010","0.0042753116680109785"
"34 Amor y Mafia REMIX (feat. El Jincho, Camin, Harry Nach & Pedro Calderon)","Pablo Chill-E","Los Green Lanters 2.0","0.83","0.862","37717891","222554","5209","21170805","0.005900488974847507"
"Na Na Na - Remix","Noriel","Na Na Na (Remix)","0.83","0.831","35917010","271584","7996","30616733","0.007561431199311969"
"Na Na Na - Remix","Pailita","Na Na Na (Remix)","0.83","0.831","35917918","271585","7996","30616733","0.007561267888634302"
"Na Na Na - Remix","Noriel","Na Na Na (Remix)","0.83","0.831","35917010","271584","7996","30616733","0.007561431199311969"
"Na Na Na - Remix","Pailita","Na Na Na (Remix)","0.83","0.831","35917918","271585","7996","30616733","0.007561267888634302"
"I Just Wanna Live","Good Charlotte","The Chronicles of Life and Death (""LIFE"" version)","0.83","0.803","50338486","331798","7707","82843050","0.00659133848403784"
"Munda Sona Hoon Main (From ""Shehzada"")","Diljit Dosanjh","Munda Sona Hoon Main (From ""Shehzada"")","0.83","0.775","29148980","461253","27522","2413032","0.01582398423546896"
"Munda Sona Hoon Main (From ""Shehzada"")","Diljit Dosanjh","Munda Sona Hoon Main (From ""Shehzada"")","0.83","0.775","29148980","461253","27522","2413032","0.01582398423546896"
"Munda Sona Hoon Main (From ""Shehzada"")","Nikhita Gandhi","Munda Sona Hoon Main (From ""Shehzada"")","0.83","0.775","29149171","461279","27522","2413032","0.01582477251239838"
"Munda Sona Hoon Main (From ""Shehzada"")","Nikhita Gandhi","Munda Sona Hoon Main (From ""Shehzada"")","0.83","0.775","29149171","461279","27522","2413032","0.01582477251239838"
"PA' ROMPERLA","Don Omar","LAS QUE NO IBAN A SALIR","0.83","0.772","38138548","497699","14742","200035011","0.013049762670566274"
"Head, Shoulders, Knees and Toes","The Wiggles","The Wiggles Nursery Rhymes","0.83","0.77","20572365","0","0","17391527","0"
"Who Do You Think You Are","Spice Girls","Spice","0.83","0.727","28084736","97591","4997","62710598","0.003474876886861247"
"Mere Rashke Qamar","Rahat Fateh Ali Khan","Baadshaho","0.83","0.718","13768457","96454","2187","35279310","0.0070054327801583"
"Mere Rashke Qamar","Nusrat Fateh Ali Khan","Baadshaho","0.83","0.718","55547267","437040","25018","35279310","0.007867893842553946"
"Mere Rashke Qamar","Rahat Fateh Ali Khan","Baadshaho","0.83","0.718","13768457","96454","2187","35279310","0.0070054327801583"
"Mere Rashke Qamar","Nusrat Fateh Ali Khan","Baadshaho","0.83","0.718","55547267","437040","25018","35279310","0.007867893842553946"
"Una Aventura","Grupo Niche","The Best","0.83","0.699","53151572","192884","4088","112105441","0.003628942526855085"
"Florentinos y Ferminas","Los Caligaris","No Es Lo Que Parece","0.83","0.687","1633614","9020","149","13361128","0.005521500183029773"
"Discord","The Living Tombstone","Discord","0.83","0.677","5862780","100454","14983","169917803","0.017134192311497275"
"Safe From Harm - 2012 Mix/Master","Massive Attack","Blue Lines (2012 Mix/Master)","0.83","0.677","8950903","47243","1473","23209354","0.0052780149667581025"
"Sufro","Ñengo Flow","LLNM2","0.83","0.662","8329294","195494","8123","7709393","0.02347065669671403"
"She Wants To Dance With Me","Rick Astley","Hold Me in Your Arms","0.83","0.654","19699765","109115","3843","9608304","0.005538898560465061"
"Let's Go","The Cars","Candy-O","0.83","0.651","3304005","22443","2059","29570110","0.006792665265337068"
"American Psycho II","D12","D-12 World","0.83","0.646","3634738","31289","962","37689533","0.008608323350954045"
"Causa Y Efecto","Paulina Rubio","Gran City Pop (Edited Version)","0.83","0.635","38451281","130501","3552","42854323","0.003393931141071737"
"Palhaça - Ao Vivo","Ana Castela","Palhaça (Ao Vivo)","0.829","0.893","15387078","141921","20306","7871817","0.009223388612184847"
"Khwab Dekhe Sexy Lady","Neeraj Shridhar","Race (Original Motion Picture Soundtrack)","0.829","0.818","44583314","278013","4468","11569767","0.006235808311602857"
"FEST?VAL","Ati242","FEST?VAL","0.829","0.808","2514280","19808","30","11817763","0.00787819972318119"
"The Power Of Love","Huey Lewis & The News","Greatest Hits: Huey Lewis And The News","0.829","0.768","13099675","100171","4357","333209828","0.007646830932828487"
"Sweet Emotion","The Kooks","Listen","0.829","0.764","76074","823","25","47306226","0.010818413649867235"
"No Soy una Señora (Non Sono una Signora)","María José","Amante de Lo Ajeno","0.829","0.752","35260631","99071","2291","35587734","0.0028096774558572135"
"Amores Como el Nuestro","Rafaga","Amores Como el Nuestro","0.829","0.726","4547451","28046","661","13223759","0.00616741114967484"
"Amores Como el Nuestro","Rafaga","Amores Como el Nuestro","0.829","0.726","4547451","28046","661","13223759","0.00616741114967484"
"Of The Night","Bastille","All This Bad Blood","0.829","0.67","53887945","400342","12947","169755498","0.007429156929253843"
"Bad Boy for Life","Diddy","The Saga Continues...","0.829","0.669","5174815","67542","3536","102111311","0.013052060798308732"
"Found What I've Been Looking For","Tom Grennan","Lighting Matches (Deluxe)","0.829","0.623","15869596","144644","4184","93257664","0.009114535744955321"
"DANCE!","1nonly","DANCE!","0.828","0.903","9321575","167022","3534","39239035","0.017917787498357304"
"On Your Mind","Kaskade","On Your Mind","0.828","0.835","30484512","304832","3174","48713002","0.009999569617515938"
"Blaues Licht","RAF Camora","Zukunft 1 & 2","0.828","0.819","34503364","306925","9664","130979623","0.00889550943496408"
"Blaues Licht","Bonez MC","Zukunft 1 & 2","0.828","0.819","34503390","306926","9664","130979623","0.008895531714419945"
"Blaues Licht","Bonez MC","Zukunft 1 & 2","0.828","0.819","34503390","306926","9664","130979623","0.008895531714419945"
"Blaues Licht","RAF Camora","Zukunft 1 & 2","0.828","0.819","34503364","306925","9664","130979623","0.00889550943496408"
"Dekhte Dekhte","Rochak Kohli","Batti Gul Meter Chalu","0.828","0.799","34502152","255783","5908","46944196","0.0074135375671639265"
"Agüita","Rafaga","Megamix","0.828","0.762","7735859","22930","1351","7208845","0.002964118141243267"
"Turn Me On (feat. Vula)","Oliver Heldens","Turn Me On (feat. Vula)","0.828","0.737","17046464","192080","2678","344347152","0.01126802602580805"
"Turn Me On (feat. Vula)","Oliver Heldens","Turn Me On (feat. Vula)","0.828","0.737","17046464","192080","2678","344347152","0.01126802602580805"
"Turn Me On (feat. Vula)","Riton","Turn Me On (feat. Vula)","0.828","0.737","17046449","192079","2678","344347152","0.011267977277848307"
"Turn Me On (feat. Vula)","Riton","Turn Me On (feat. Vula)","0.828","0.737","17046449","192079","2678","344347152","0.011267977277848307"
"I'm Coming Out","Diana Ross","Diana","0.828","0.72","13312587","100120","6204","224613047","0.00752070202433231"
"Big 14 (feat. Offset & Moneybagg Yo)","Offset","Big 14 (feat. Offset & Moneybagg Yo)","0.828","0.71","6223662","188097","8731","20247431","0.030222881641065985"
"In Your Arms (For An Angel)","Robin Schulz","In Your Arms (For An Angel)","0.828","0.694","4485274","47678","749","48476423","0.010629896858029186"
"In Your Arms (For An Angel)","Topic","In Your Arms (For An Angel)","0.828","0.694","4485274","47678","749","48476423","0.010629896858029186"
"In Your Arms (For An Angel)","Robin Schulz","In Your Arms (For An Angel)","0.828","0.694","4485274","47678","749","48476423","0.010629896858029186"
"In Your Arms (For An Angel)","Topic","In Your Arms (For An Angel)","0.828","0.694","4485274","47678","749","48476423","0.010629896858029186"
